version,weight,weight_post,ft_hispanic,ft_black,ft_white,state2,dist,region,statefip,race,white,black,hispan,asian,whiteid,hispanid,blackid,asianid,raceid,pid7,pid3,ideo,pid_importance,education,education5,education4,age,income,gender,marital,fl_dem,fl_gop,fl_ingroup,fl_outgroup,condition_hard_for_blacks,blacks_no_special_favor,blacks_try_harder,blacks_got_less,rr,protest,petition,contribute_indv,contribute_party,contribute_group,work,campaign_actvt
"ANES2020TimeSeries_20220210",.7465378836,.6097080822,65,60,60,"GA",7,3,13,1,1,0,0,0,4,,,,4,1,-1,2,-3,6,4,3,73,5,1,1,80,15,80,15,2,0,0,2,.25,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7939649457,.7343754125,85,85,85,"NC",3,3,37,1,1,0,0,0,2,,,,2,5,0,,0,1,1,1,72,5,2,3,20,100,100,20,3,4,2,4,.8125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.8903628304,.9064169109,50,50,50,"VA",10,3,51,1,1,0,0,0,5,,,,5,5,0,5,0,6,4,3,50,20,1,1,40,50,50,40,2,3,3,3,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7884671913,.645981762,50,45,50,"NY",19,1,36,1,1,0,0,0,4,,,,4,6,1,5,2,8,5,4,66,22,1,1,60,0,0,60,1,0,1,1,.1875,2,1,1,2,2,2,1
"ANES2020TimeSeries_20220210",1.415001089,1.47686148,100,85,60,"AZ",1,4,4,3,0,0,1,0,,2,,,2,1,-1,4,-3,2,2,1,41,15,1,1,60,30,60,30,4,4,3,5,1,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7436265369,1.035521201,3,0,3,"HI",2,4,15,4,0,0,0,1,,,,2,2,4,0,,0,2,2,1,52,1,2,5,0,0,,,2,2,2,2,.5,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.8558127614,1.240826795,50,50,50,"CO",5,4,-1,5,0,0,0,0,,,,,,4,,4,,3,3,2,45,13,1,4,0,0,,,3,2,2,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.2493781423,.2071723889,,100,85,"ID",2,4,16,1,1,0,0,0,4,,,,4,1,-1,2,-4,7,5,4,46,4,2,6,70,15,70,15,2,1,0,3,.375,2,1,2,1,1,2,2
"ANES2020TimeSeries_20220210",.6202773721,.54130118,70,70,70,"WI",1,2,55,1,1,0,0,0,5,,,,5,7,1,6,4,6,4,3,66,20,1,1,0,70,70,0,4,3,2,5,.875,2,1,1,1,2,2,2
"ANES2020TimeSeries_20220210",1.123762648,1.098022045,100,100,100,"NY",25,1,36,1,1,0,0,0,3,,,,3,2,-1,2,-1,8,5,4,60,20,2,4,60,15,60,15,1,0,0,1,.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7872419343,.6427811023,85,60,100,"TX",36,3,48,1,1,0,0,0,2,,,,2,7,1,,3,6,4,3,73,10,2,1,0,85,85,0,4,4,3,3,.875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.254254299,.8767082052,50,80,60,"IL",1,2,17,2,0,1,0,0,,,3,,3,1,-1,,-4,5,3,2,71,9,2,1,60,40,60,40,3,0,0,2,.3125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.9067346191,.7768527057,80,80,20,"OH",12,2,39,1,1,0,0,0,4,,,,4,3,0,1,0,8,5,4,28,3,2,6,40,10,40,10,1,0,0,1,.125,1,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6369370502,.4800506507,50,50,50,"AR",3,3,5,1,1,0,0,0,4,,,,4,1,-1,1,-4,7,5,4,73,8,2,1,85,0,85,0,1,1,4,1,.4375,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.4953657872,.3733166024,100,100,100,"GA",6,3,13,1,1,0,0,0,5,,,,5,7,1,6,1,6,4,3,,-9,1,1,0,60,60,0,3,3,1,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4621536033,.5240775024,60,70,70,"TX",24,3,48,1,1,0,0,0,4,,,,4,7,1,6,3,6,4,3,37,19,2,1,30,85,85,30,2,3,3,3,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4378014002,.3649065123,95,95,95,"PA",3,1,42,2,0,1,0,0,,,3,,3,1,-1,4,-5,5,3,2,56,4,2,6,78,,78,,3,2,2,2,.5625,2,1,2,2,2,1,1
"ANES2020TimeSeries_20220210",.6632024025,.6309834495,50,50,50,"NM",1,4,35,1,1,0,0,0,5,,,,5,7,1,7,3,7,5,4,48,10,1,4,0,15,15,0,5,3,3,3,.875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6565901752,.6441673781,50,50,50,"KS",4,2,20,1,1,0,0,0,4,,,,4,7,1,7,5,6,4,3,53,19,2,1,10,95,95,10,5,4,4,5,1.125,2,1,1,2,2,1,2
"ANES2020TimeSeries_20220210",.8747569696,.9313002507,85,85,70,"CA",22,4,6,1,1,0,0,0,3,,,,3,5,0,3,0,5,3,2,72,22,2,4,40,85,85,40,3,2,2,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.2500100246,.2425254387,50,50,50,"MO",3,2,29,1,1,0,0,0,2,,,,2,7,1,6,5,2,2,1,55,1,1,1,0,100,100,0,3,2,2,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.090842536,.9218541132,50,50,85,"PA",8,1,42,1,1,0,0,0,2,,,,2,1,-1,2,-4,4,3,2,79,10,1,3,85,0,85,0,1,2,0,2,.3125,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.6339544682,.6778118634,70,70,70,"MN",4,2,27,1,1,0,0,0,5,,,,5,3,0,3,0,6,4,3,38,21,1,1,80,0,80,0,2,1,3,3,.5625,2,2,1,1,1,2,3
"ANES2020TimeSeries_20220210",.3148045871,.3208138088,85,85,90,"CA",32,4,6,4,0,0,0,1,,,,3,3,7,1,4,5,6,4,3,42,12,2,6,20,100,100,20,5,3,1,4,.8125,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.455757492,.368948994,75,70,85,"MO",2,2,29,1,1,0,0,0,3,,,,3,3,0,6,0,7,5,4,70,15,1,1,70,30,70,30,2,3,1,2,.5,2,1,1,2,2,2,1
"ANES2020TimeSeries_20220210",.9578606936,.6931791721,70,85,30,"TX",18,3,48,5,0,0,0,0,,,,,,1,-1,4,-4,4,3,2,50,-9,2,-9,100,70,100,70,1,0,0,1,.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.3442224565,.262082587,100,100,60,"VA",3,3,51,2,0,1,0,0,,,2,,2,1,-1,2,-3,7,5,4,50,-9,2,6,80,0,80,0,1,0,0,1,.125,1,1,1,1,2,2,2
"ANES2020TimeSeries_20220210",1.362598935,,,,,"OH",1,2,-1,1,1,0,0,0,,,,,,4,0,4,0,1,1,1,27,1,2,1,50,50,,,,,,,,,,,,,,
"ANES2020TimeSeries_20220210",1.361796149,1.681293387,0,0,0,"KY",5,3,-1,1,1,0,0,0,5,,,,5,7,1,,4,2,2,1,62,1,1,6,0,70,70,0,3,1,3,1,.5,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.185891215,1.010677334,50,50,50,"PA",13,1,42,,0,0,0,0,,,,,,4,0,4,0,5,3,2,51,-9,2,1,0,70,,,5,4,3,5,1.0625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",4.009351066,,,,,"AZ",4,4,4,1,1,0,0,0,,,,,,7,1,6,1,3,3,2,60,15,1,1,40,70,70,40,,,,,,,,,,,,
"ANES2020TimeSeries_20220210",.2792112361,.2225091933,65,65,75,"GA",7,3,13,1,1,0,0,0,3,,,,3,1,-1,3,-3,7,5,4,65,9,2,4,70,45,70,45,5,3,3,4,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.5522678411,.5724414826,80,80,80,"NY",11,1,36,1,1,0,0,0,5,,,,5,3,0,3,0,7,5,4,,21,1,6,70,15,70,15,2,1,1,3,.4375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.515286768,1.41210252,40,70,70,"OH",7,2,39,1,1,0,0,0,3,,,,3,6,1,4,3,2,2,1,48,9,1,4,40,70,70,40,4,4,3,4,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7165363999,.8004741474,50,50,50,"TX",36,3,48,1,1,0,0,0,5,,,,5,5,0,6,0,2,2,1,55,13,1,1,15,85,85,15,4,4,3,4,.9375,2,2,1,2,2,2,1
"ANES2020TimeSeries_20220210",.8947970051,.9367936522,70,70,50,"IL",14,2,-1,1,1,0,0,0,4,,,,4,4,0,5,0,6,4,3,54,19,1,1,30,30,,,1,1,0,2,.25,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6449652132,.9034970081,50,50,50,"MT",1,4,30,1,1,0,0,0,2,,,,2,2,-1,4,-3,7,5,4,38,13,2,1,60,30,60,30,3,2,0,2,.4375,1,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6669584176,.5439624153,100,100,50,"TN",2,3,47,1,1,0,0,0,3,,,,3,1,-1,2,-4,8,5,4,80,10,1,1,70,0,70,0,2,1,0,4,.4375,2,2,1,1,2,1,3
"ANES2020TimeSeries_20220210",.3221474395,.3273557201,85,85,70,"LA",2,3,22,6,0,0,0,0,4,,4,,,2,-1,2,-2,7,5,4,37,15,2,1,70,15,70,15,1,0,0,1,.125,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.32983959,.3479113827,100,100,100,"NJ",10,1,34,1,1,0,0,0,4,,,,4,3,0,2,0,6,4,3,38,22,1,1,50,30,50,30,2,1,1,2,.375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7091187838,.7543988156,85,30,100,"CA",47,4,6,1,1,0,0,0,1,,,,1,5,0,4,0,4,3,2,60,11,1,1,0,85,85,0,5,4,4,5,1.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.324761226,1.403263506,60,60,60,"CA",16,4,6,6,0,0,0,0,4,,,,,3,0,5,0,3,3,2,46,14,1,4,85,0,85,0,1,1,1,2,.3125,1,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.078124687,.9517947382,85,100,50,"CA",49,4,6,1,1,0,0,0,4,,,,4,1,-1,1,-2,7,5,4,78,17,2,1,40,0,40,0,1,0,0,1,.125,1,1,1,1,2,2,2
"ANES2020TimeSeries_20220210",.5510020222,.5941780018,70,70,40,"CO",2,4,8,1,1,0,0,0,2,,,,2,1,-1,2,-2,8,5,4,39,16,2,1,70,10,70,10,1,0,0,1,.125,2,1,2,1,1,2,2
"ANES2020TimeSeries_20220210",.2207684159,.1968318908,100,100,60,"IL",18,2,17,2,0,1,0,0,,,1,,1,2,-1,2,-1,8,5,4,33,11,2,6,70,30,70,30,1,0,0,1,.125,1,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.280324733,.2461143181,85,85,100,"CA",2,4,6,1,1,0,0,0,2,,,,2,1,-1,2,-4,7,5,4,74,1,2,4,100,0,100,0,1,1,0,3,.3125,2,2,2,1,2,2,1
"ANES2020TimeSeries_20220210",.5469929942,.5712979957,50,30,50,"MN",7,2,27,1,1,0,0,0,4,,,,4,2,-1,3,-2,4,3,2,61,10,2,3,70,15,70,15,4,3,2,4,.8125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.9724394102,.8772906077,100,70,100,"MN",6,2,27,1,1,0,0,0,2,,,,2,1,-1,,-2,3,3,2,67,6,2,4,85,0,85,0,2,4,1,2,.5625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.920229073,2.10128122,70,70,70,"PA",16,1,42,1,1,0,0,0,3,,,,3,2,-1,,-2,2,2,1,60,13,2,4,,,,,4,2,1,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7373587973,.780942102,85,60,85,"PA",14,1,42,1,1,0,0,0,3,,,,3,7,1,6,3,3,3,2,,17,1,1,0,75,75,0,5,4,4,5,1.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.710565784,1.353871428,50,50,50,"IN",8,2,-1,2,0,1,0,0,,,2,,2,4,0,,0,3,3,2,21,6,1,6,25,15,,,3,1,1,3,.5,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.286294831,2.168399564,70,70,60,"NY",18,1,36,2,0,1,0,0,,,1,,1,1,-1,4,-5,1,1,1,49,1,2,1,100,0,100,0,1,3,0,1,.3125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4059075455,.3299684572,7,7,7,"PA",1,1,42,1,1,0,0,0,3,,,,3,1,-1,2,-1,7,5,4,80,16,1,1,100,30,100,30,1,3,0,1,.3125,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.5896014412,.5106024524,70,70,70,"FL",23,3,12,1,1,0,0,0,4,,,,4,5,0,4,0,3,3,2,70,6,1,1,0,60,60,0,2,3,2,2,.5625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4477661489,.4351348291,95,,85,"TX",29,3,48,1,1,0,0,0,3,,,,3,1,-1,5,-4,2,2,1,70,-9,2,3,100,0,100,0,4,4,0,5,.8125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7337044637,.6714848476,85,70,85,"OK",3,3,40,1,1,0,0,0,3,,,,3,5,0,5,0,6,4,3,72,18,1,1,15,60,60,15,2,1,1,4,.5,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6076607242,.5493638783,70,85,85,"AZ",8,4,4,1,1,0,0,0,2,,,,2,7,1,7,5,3,3,2,78,10,2,1,0,100,100,0,4,3,3,4,.875,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.3253683639,.3366920008,50,70,70,"DE",1,3,10,1,1,0,0,0,2,,,,2,1,-1,2,-3,6,4,3,43,10,2,4,70,0,70,0,1,0,1,1,.1875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.5993535356,.7034074157,70,85,60,"DC",1,3,11,2,0,1,0,0,,,1,,1,4,0,,0,3,3,2,45,3,2,6,70,60,,,2,1,1,2,.375,1,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.3904042855,.3726138282,100,70,70,"IN",7,2,18,1,1,0,0,0,5,,,,5,2,-1,3,-3,6,4,3,44,21,2,1,70,15,70,15,2,0,0,1,.1875,1,1,1,1,2,2,2
"ANES2020TimeSeries_20220210",.5923183388,.511042102,100,30,60,"NV",3,4,32,3,0,0,1,0,,1,,,1,1,-1,4,-1,4,3,2,50,6,2,6,85,15,85,15,2,4,3,5,.875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6862168458,.7043910736,50,70,90,"FL",14,3,12,1,1,0,0,0,2,,,,2,4,0,4,0,7,5,4,,-9,2,1,50,50,,,3,2,2,2,.5625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.601998276,.6229753272,50,50,50,"WV",1,3,54,1,1,0,0,0,5,,,,5,3,0,3,0,6,4,3,33,15,2,1,70,0,70,0,2,1,0,2,.3125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.397167648,1.94632551,50,50,85,"MA",2,1,25,1,1,0,0,0,1,,,,1,7,1,,4,2,2,1,55,14,2,1,0,100,100,0,5,4,1,5,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.287799589,1.428716852,50,50,50,"OH",2,2,39,1,1,0,0,0,5,,,,5,6,1,5,1,6,4,3,28,20,2,1,15,70,70,15,5,3,1,3,.75,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4397871472,.6175522301,50,50,50,"VA",3,3,51,1,1,0,0,0,5,,,,5,7,1,5,3,7,5,4,34,22,2,6,30,85,85,30,5,4,4,5,1.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",2.373716841,3.245233737,70,70,70,"AZ",9,4,36,1,1,0,0,0,1,,,,1,7,1,2,2,6,4,3,24,20,2,6,0,100,100,0,4,2,1,4,.6875,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6899773044,.6541924494,50,50,50,"OK",5,3,40,1,1,0,0,0,4,,,,4,7,1,7,5,4,3,2,26,2,2,4,0,100,100,0,3,4,3,3,.8125,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.941595461,.8188662537,70,70,70,"OH",7,2,39,1,1,0,0,0,4,,,,4,1,-1,3,-4,2,2,1,75,7,1,3,70,30,70,30,2,0,0,4,.375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7873474901,.6513736869,85,0,85,"HI",2,4,15,5,0,0,0,0,,,,,,4,0,5,0,6,4,3,61,13,1,1,0,60,,,5,4,4,2,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4100247737,.3579353215,85,70,,"TX",3,3,48,1,1,0,0,0,2,,,,2,7,1,6,5,7,5,4,80,22,2,3,15,70,70,15,2,4,2,2,.625,2,1,1,1,2,1,3
"ANES2020TimeSeries_20220210",.6789681341,.7373271883,70,85,70,"MA",6,1,25,1,1,0,0,0,5,,,,5,3,0,3,0,3,3,2,58,18,1,1,60,15,60,15,1,1,0,3,.3125,1,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4328653324,.3636429819,100,100,40,"GA",11,3,13,3,0,0,1,0,,1,,,1,2,-1,4,-1,6,4,3,50,12,2,6,50,0,50,0,1,0,0,1,.125,2,1,1,2,2,2,1
"ANES2020TimeSeries_20220210",.2698737353,.2142842949,70,85,70,"SC",1,3,45,1,1,0,0,0,3,,,,3,1,-1,3,-4,6,4,3,76,6,2,3,85,0,85,0,1,0,0,2,.1875,2,1,1,2,1,2,2
"ANES2020TimeSeries_20220210",.3351465562,.3053001479,60,60,60,"WA",10,4,53,1,1,0,0,0,5,,,,5,4,0,4,0,3,3,2,80,9,2,3,70,60,,,3,1,0,4,.5,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6976465715,.8758741937,60,30,100,"PA",14,1,42,6,0,0,0,0,4,,,,,1,-1,2,-4,2,2,1,48,1,2,6,100,0,100,0,5,4,4,5,1.125,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.8206467737,1.225861125,70,70,70,"PA",4,1,42,1,1,0,0,0,2,,,,2,4,0,3,0,2,2,1,61,17,2,1,60,50,,,2,3,3,2,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4438845098,.4626479206,85,95,30,"CA",31,4,6,1,1,0,0,0,5,,,,5,1,-1,2,-2,7,5,4,45,17,2,4,85,50,85,50,1,0,0,1,.125,2,1,1,2,2,2,1
"ANES2020TimeSeries_20220210",.5745963897,.6274098723,70,70,85,"ID",1,4,16,1,1,0,0,0,3,,,,3,7,1,6,3,4,3,2,37,7,2,1,15,85,85,15,5,4,3,4,1,2,1,2,2,2,2,0
"ANES2020TimeSeries_20220210",.8078114834,.8113145403,70,90,90,"IN",5,2,18,1,1,0,0,0,4,,,,4,7,1,6,1,6,4,3,36,17,1,1,0,60,60,0,5,4,3,3,.9375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.7058802922,.578128933,85,85,85,"PA",8,1,42,1,1,0,0,0,5,,,,5,1,-1,2,-4,1,1,1,80,3,2,3,85,15,85,15,2,2,1,2,.4375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4555716341,.3662250596,100,100,100,"MD",6,3,24,1,1,0,0,0,5,,,,5,7,1,7,4,2,2,1,66,4,2,6,0,85,85,0,5,3,4,5,1.0625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.507376192,1.392587417,50,,50,"MA",9,1,25,1,1,0,0,0,5,,,,5,5,0,5,0,2,2,1,80,10,2,1,30,85,85,30,3,4,3,3,.8125,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.386140988,.3622901499,70,70,70,"KS",4,2,20,5,0,0,0,0,,,,,,5,0,6,0,5,3,2,66,19,1,1,30,50,50,30,4,2,2,4,.75,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",3.32509129,3.39065794,60,60,60,"PA",9,1,42,1,1,0,0,0,5,,,,5,6,1,4,1,3,3,2,60,17,2,1,70,10,10,70,2,1,1,2,.375,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.4673576911,.4574110321,,,,"NY",19,1,36,1,1,0,0,0,,,,,,7,1,6,3,,,,34,19,1,1,0,70,70,0,,,,,,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.6452881441,.5838381995,85,50,70,"CA",42,4,6,4,0,0,0,1,,,,4,4,7,1,6,1,8,5,4,80,22,1,1,0,70,70,0,5,4,3,4,1,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",1.142239589,1.463450251,85,85,100,"IL",14,2,17,1,1,0,0,0,4,,,,4,2,-1,4,-1,2,2,1,71,14,1,1,30,60,30,60,2,2,3,3,.625,2,2,2,2,2,2,0
"ANES2020TimeSeries_20220210",.497949745,.3860927429,30,,70,"OH",6,2,39,1,1,0,0,0,4,,,,4,7,1,6,4,3,3,2,72,6,1,4,0,70,70,0,2,4,3,4,.8125,2,2,1,1,2,2,2
"ANES2020TimeSeries_20220210",.3768025492,.3557784822,60,15,70,"IL",5,2,17,1,1,0,0,0,4,,,,4,6,1,3,1,6,4,3,57,8,1,6,30,70,70,30,2,3,1,5,.6875,2,2,2,2,2,2,0
